totalScore,text,title
4.8,"I am admitted on manipal hospital cardiology department bed no 1021 treatment is very excellent  nursing care , canteen service, house keeping service are mind-blowing proper hygiene maintain clean area I really like this hospital all nursing staff are very good and politely behaviour, very cooperative like sister twinkle, smriti, jyotsna, Gayatri, abhilipsa incharge dd Subhashree is a very kind and good  staff discipline maintain good work ... manipal hospital  is a good and healthy hospital in bbsr","Manipal Hospitals, Bhubaneswar"
4.8,"My sister itishri patra admitted on cardiac department bed no 1018 under doctor biswajit Mohapatra treatment is very excellent nursing care wonderful and mind-blowing sister twinkle, smriti, jyotsna,Gayatri, abhilipsa, jyoti.sister Subhashree good and beautiful incharge politely behaviour i like this hospital","Manipal Hospitals, Bhubaneswar"
4.8,"I m admitted in 4028.and very thankful to all 4 c Nursing staffs .Sr.Arati.Sr.Rasmita,Sr.Suchi,Sr.nikita ,Sr.Swapna .Thanx to Manipal hospital.","Manipal Hospitals, Bhubaneswar"
4.8,Mahipal Hospitality is really good.jayshree Shukla and narmada very cooperative and friendly.gastro OPD nursing staff excellent.dr  Pratap behera excellent doctor. all service is good,"Manipal Hospitals, Bhubaneswar"
4.8,"My father was admitted under doctor M agrawal .He is a very cooperative person.Also nursing staff Utkal,Subhra, Bandana, Aiswarya,Rupali,Chinmaya,Rasmita , Pravhasini,Jemima,Chinmayee are very caring.","Manipal Hospitals, Bhubaneswar"
4.8,"My mother mrs. Puspanjali Behera admitted under Dr LR Nath in CCU department, Bed No= 1032. Manipal hospital is the best hospital in Bhubaneswar. Here treatment care is so good. Dr L R Nath Sir is so humble person. All CCU staff are so co operative. Sr Subhra is good for patient. She is very caring. Sr chinmayee, sr Jemima, Br. Subha, Br. Utkal, Sr. Rupali, Sr. Prabhasini all staff are so co operative. House keeping Sr. Basanti is so nice.","Manipal Hospitals, Bhubaneswar"
4.8,"I am Bhagirathi Behera admitted cardiac hdu bed no 1023a all nursing staff are good and politely behavior sister twinkle,  abhilipsa, Preeti, Gayatri, Padmini,  Jyotsna , smriti , incharge subhashree is a very good and cooperative staff  .treatment is very excellent","Manipal Hospitals, Bhubaneswar"
4.8,"Hi All
Writing this review to make all of you aware about this hospital during my 3days admission for my wifes delivery.

Dr Harpreet kaur mam is faboulous and so supportive .She is very proffesional and passionate towards her work.Thank you mam.

security Sundari Sahoo is so much helpful she has helped me from the day 1 till our discharge.floor management/House keeping team were so nice and they have arranged a beautiful cake cutting ceremony for us.

Points to take actions : NICU junior doctors need to be more proffesional ,  they are so insensitive and there major concern is how to generate revenue towards hospital","Manipal Hospitals, Bhubaneswar"
4.8,"I was admitted in 3rd floor general ward for surgery.Sreemati ,SV Reeta, Subha,Mr Satya are extremely talented and helpful.they helped me in every way.Very Co-operative","Manipal Hospitals, Bhubaneswar"
4.8,"I was admitted on bed no 4049under dr pratap behera .I get excellent service  all nursing staff are very cooperative.sister bindu,arati,debasmita,satyabhama,rajashree,are excellent and Very good behavior.","Manipal Hospitals, Bhubaneswar"
4.8,"I admitted manipal hospital bbsr for cystectomy surgery and i must say my experience was outstanding.
Doctor and team dr Monica Gupta and dr provided exceptional care.
Nursing staff - including lilima, bhagyshree,itishree, rajashree,puja, were fantastic they were consistently attentive and compassionate. They always checking my health comfort and well being. They are professionally and dedication truly made a difference for my recovery process.
Nursing always smiling
Cleaning -Housekeeping - geeta,santoshi,suchitra,barsha and ms renu is maintaing always clean less. Hospital was well kept and hygiene.
Food- the food serve at the hospital is very good it was very tasty and nutritious bhola is very good daitcian - manshi.
Overall my experience at manipal hospital bbsr was very positive, the combination of excellent medi care and nursing services and nursing team made my stay comfortable I highly recommend this hospital to anyone any Time.","Manipal Hospitals, Bhubaneswar"
4.8,"I made a great decision to visit Manipal hospital, however it was solely to consult with Dr. Manash Ranjan Pradhan. Later It was decided to go for a minor surgery. Well no body should visit hospital, in case you have to, Manipal hospital Bhubaneshwar is the best choice. Excellent all round service, care and compassion. To name a few, I must say Dr. Pradhan and his team, Nursing team Manasmita, Sarbeswar, Jidan, Anusaya and Barsha, all housekeeping, Food and Beverage, front desk and TPA team. Spot on service, excellent care and no room for complain. Manipal will always be my first choice. Well done team.","Manipal Hospitals, Bhubaneswar"
4.8,Hospital is good  my father admitted in daycare here environment is so good  thanks to sis madhu brother resmith sis biswajita  all are extremely nice thanks to dr l r nath sir,"Manipal Hospitals, Bhubaneswar"
4.8,"Compassionate doctor(Dr. Janaki ballav Pradhan)
Helpful staff
Clean facility(PICU)","Manipal Hospitals, Bhubaneswar"
4.8,Very good experience with amri.team,"Manipal Hospitals, Bhubaneswar"
3.7,I am so happy,SUM Hospital
3.7,Mukesh Thakur Thank you for the suggestion for this hospital is good,SUM Hospital
3.7,"One of the worst hospital in bhubaneswar... I was personally experienced... If u care your patient, please do ignore this hospital.....",SUM Hospital
3.7,Doctor or nurse are very good but only one thing sum medical committee should look for security guard.they should change the security because they behave very rude with patients . So it's not acceptable.,SUM Hospital
3.7,This hospital is a pride of odisha. All treatments are at relatively affordable prices in comparison to other hospitals,SUM Hospital
3.7,"Sum hospital is a Worst or 3rd grade hospital in whole over the India. I want to share My personal experience recently 28.january 2024 time ,nurses behaviour is very rude, inexperienced doctors treatment, all are money oriented, unnecessary pathotest is done there. In each and every side corruption is there. If u want to treatment well , kindly don't go there.",SUM Hospital
3.7,Sum hospital is excellent facilities for patients and for peoples,SUM Hospital
3.7,Exlant sarvesh,SUM Hospital
3.7,"Good facility and also nice doctors but staff's behavior is so bad, not expected from this kind of hospital",SUM Hospital
3.7,BEST HOSPITAL FOR GYNECOLOGY,SUM Hospital
3.7,Very nice hospital for any type of medical emergency. You definitely get valuable services and hospitality here.,SUM Hospital
3.7,"Wrost experience
At Gynecologist department
Koi agar doctor ke pas jata to ushe janna hota hai apni bimari ke bare me.... Aur wo lady doctor hume bina kuch solution dilaye...she started shouting ..... Aise koun behave karta hai Dear Mam
Aapko ethics to pata hoga na... How to behave with your patient..
Aur Jada bhid hua logo ka to... wo bolne lagi ki ye free card bale bade kharab hote hai...like aap kisiko kuch bhi bol sakte Ho.... Aise agar aapke family members ko kuch hua hota Aur aap jaise behave kiye waise hi Koi doctor kiya hota then Aapko kaisa lagta? ?

First be a good human",SUM Hospital
3.7,"Doctors are nice and polite but the other staffs and nurses are very rude and impolite even when you ask them about OPD timings, doctors availability and anything in general. I hope the hospital management takes some measures to improve this.",SUM Hospital
3.7,worst hospital in bhubaneswar.if anyone comes to this hospital.they can't take any care of emergency patient and they can't do any immediate treatment of the patient.also the hospital is not clean and not maintain the hygiene in the hospital.,SUM Hospital
4.5,"My mom underwent laparoscopic hysterectomy. Superb facility very affordable.
Especially my gynaec Dr.smita sarangi is very good.",Health Village Hospital
4.5,"Small Family If Always Happy So Do Not Your Mind Disterbing & Join The Small Family Members & Happy In Your Life.

HEALTH VILLAGE HOSPITAL",Health Village Hospital
4.5,One of the best hospitals of BBSR. Best quality services provided at affordable price. Excellent doctors present round the clock with dedicated and committed nursing care provided to all patients.,Health Village Hospital
4.5,"Excellent Doctors, supporting staff are also very good.",Health Village Hospital
4.5,Proper clean and hygiene maintain at there inside the hospital...proper caring and timely services by nurse truly speechless.....nice place for treatment...everyone should go there.,Health Village Hospital
4.5,"Recently my mother was admitted to this hospital due to dengue and was checked by their medicine doctor. She was admitted to the hospital and was discharged recently. Today we went for the follow up check for which a TPC lab test was required. So I did my lab test at the hospital and to cross check I also did the lab test at an well known outside pathology lab. The lab reports were too different. The TPC reports difference between the hospital and outside lab was around 30000 in which the hospital was lesser. Due to this difference I consulted the doctor but to my surprise he did not even look into the report and threw it. We had waited around 1.5 hrs for his visit. He said the lab reports of the hospital were only correct and others were not so clinically correct and also said that we did not believe him therefore we did the test outside. We only wanted to cross check the reports and we were not satisfied. You all can check other reviews related to the lab reports of this hospital are not so correct all the time, so I would suggest all to cross check the lab reports if you have a doubt.

I would admit that treatment we received while admitted in the hospital  was good but after treatment the behavior was not satisfactory.",Health Village Hospital
4.5,Had good experience,Health Village Hospital
4.5,Nice hospital,Health Village Hospital
4.5,"Verry good treatment,and nursing staff is verry helpful and also take care my patient,thanks health village hospital for providing me better treatment experience,,",Health Village Hospital
4.5,Good hospital for ortho related isues,Health Village Hospital
4.5,Cooperative staffs and great service,Health Village Hospital
4.5,"A very hospitable atmosphere indeed....almost everybody is eager to help you out from an issue...doctors and nurses are excellent there...for the first time I had a good experience from a hospital so far hahaha!!They treated me so well so that I could hardly recall the pains and all I received during my treatment...would surely recommend this place, THANK YOU HEALTH VILLAGE HOSPITAL...",Health Village Hospital
4.6,Excellent,Vivekanand Hospital Bhubaneswar
4.6,All services  are excellent.,Vivekanand Hospital Bhubaneswar
4.6,Good doctor and staffs.,Vivekanand Hospital Bhubaneswar
4.6,Good services.,Vivekanand Hospital Bhubaneswar
4.6,Excellent care,Vivekanand Hospital Bhubaneswar
4.6,Good,Vivekanand Hospital Bhubaneswar
4.6,Good facilities.,Vivekanand Hospital Bhubaneswar
4.6,Good  staffs,Vivekanand Hospital Bhubaneswar
4.6,Excellent care.,Vivekanand Hospital Bhubaneswar
4.6,All services are good.,Vivekanand Hospital Bhubaneswar
4.6,Good  hospital.,Vivekanand Hospital Bhubaneswar
4.6,Good,Vivekanand Hospital Bhubaneswar
4.6,We are satisfied.,Vivekanand Hospital Bhubaneswar
4.6,Excellent care,Vivekanand Hospital Bhubaneswar
4.6,All services are good.,Vivekanand Hospital Bhubaneswar
4.6,All facilities are good.,Vivekanand Hospital Bhubaneswar
4.6,Good  facilities.,Vivekanand Hospital Bhubaneswar
4.6,Good,Vivekanand Hospital Bhubaneswar
4.6,Very good .,Vivekanand Hospital Bhubaneswar
4.6,All staffs are good.,Vivekanand Hospital Bhubaneswar
4.7,Best service experience,Apollo Hospitals
4.7,So happy to come to Apollo hospital.,Apollo Hospitals
4.7,Bed no. 316. The nursing staff were very caring and managed everything meticulously. I personally thank Bhagyashree Parida for her continous service and care. Thank you to the whole apollo team.,Apollo Hospitals
4.7,Very nice ..,Apollo Hospitals
4.7,"Apollo hospital is best hospital, specially sister chinu and rubi sister service is very good",Apollo Hospitals
4.7,"My husband was admitted here with severe chest pain with breathing problems on 17th August,2024 . Excellent service was provided by the doctors and others of the Emergency unit . His life was saved because of their treatment only. Next he was in MICU , and after 2 days was shifted to General Ward(Bed no-416). The nurses, Doctors, other services are very much satisfactory. I always recommend this hospital.",Apollo Hospitals
4.7,"The operation and follow up of observation and  treatment was excellent. The treatment is extremely good. The nursing staff and other management was meticulously done to our utmost satisfaction. All are so caring, responsive and dedicated.",Apollo Hospitals
4.7,Ahc department vital room sis behaviour excellent.good service,Apollo Hospitals
4.7,Everything is good and all staff members are doing well. Nursing and cleaning excellent,Apollo Hospitals
4.7,All staff very nice.. Housekeeping and nursing department excellent.. No 1 hospital...,Apollo Hospitals
4.7,Ahc department BMI room sister Namita very good behaviour and kind helpful,Apollo Hospitals
4.7,AHC dept. BMI room sister is very well trained and does a good job.,Apollo Hospitals
4.7,Dr. Antaryami Nanda Sir have excellent doctor and clear explanation of patient condition and treatment also.,Apollo Hospitals
4.7,AHC DEPT. BMIROOM SISTER NAMITA HER BEHAVIOUR IS GOOD AND PROVIDE EXCELLENT SERVICE .,Apollo Hospitals
4.7,AHC Department BMI Room sister name Namita excellent support and guidance also very humble and caring.,Apollo Hospitals
4.7,"Bad no 343A  s/n name shraddhanjali digal and sangita Patra excellent service
I'm proud",Apollo Hospitals
4.7,Very good,Apollo Hospitals
4.7,"Apollo Health Check up package at Apollo Hospital Bhubaneswar is a very good facility available to assess your health conditions, as a preventive measure. Quite affordable. However, they push additional tests unnecessarily.",Apollo Hospitals
4.7,Very good,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Dr and staff are very nice,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Exllent service,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Good doctor,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,All staffs are very cooperative...very good experience....,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"ALL services are very good.
Excellent service and doctor are experienced.
Room service and room cleaning everything was top level.The house keeping service people are friendly to us and dedicated at their work.
Special thanks to house keeping staff manoj bag and minu Digal to proper room service and  time to time room cleaning properly.
Thank you sum ultimate hospital",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Bed no_3044.Dr Jena sir was best doctor . His treatment was excellent . Nursing staffs are good or careing. All staffs services Nice. Satisfied with all services and treatment .Ip cordinators behaviour nice or friendly thanks to sum ultimate Medicare,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Nice,all staffs n doctors are very cooperative",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Very good,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Staff are very caring and dr sahoo is very nice dr,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Experience is good,",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"The medical experience here was amazing!! From the care of the patient till food, everything was top notch. The facilities here are commendable. We recommend everyone Sum Ultimate for their emergency needs.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Best hospital on bhubaneswar. Good environment,all staffs and doctor are very good behaviour. Iam satisfied .thanks subhasis sir good tritment me",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Prosthetic & orthotic Department

I recently had my prosthetic socket changed at sum ultimate Medicare , Bhubaneswar and the fit is excellent.walking so comfortable now .Thank you Anuwar sir .",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"The service is very good. All the staffs are very polite and helpful as well. Special thanks to Doctors , they listen your problem very carefully.i would like to recommend everyone.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,I was admitted in emgegency for delivery....under guidence of.Dr tapan pattanaik sir treatment ...sir is very nice person and proper care...hospital facility is very good...nursing staff very helping...good room service also....I feel home like here in 4days staying.....,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Excellent service Excellent behavior of staff Excellent food quality  Doctor service behavior Excellent,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.3,Good,"CARE Hospitals, Bhubaneswar"
4.3,Excellent services,"CARE Hospitals, Bhubaneswar"
4.3,"MEDICIEN ସ୍ପଶିଆଲିଷ୍ଟ Dr.swarup kumar bhanja ସାର ଙ୍କ ବୋହୁତ ଭଲ ବ୍ୟବହାର l
ସେ ଜଣେ ବୋହୁତ ଭଲ Docter","CARE Hospitals, Bhubaneswar"
4.3,Very good,"CARE Hospitals, Bhubaneswar"
4.3,na,"CARE Hospitals, Bhubaneswar"
4.3,Excellent services are being provided here by the exoerienced doctors & staff.,"CARE Hospitals, Bhubaneswar"
4.3,Excellent,"CARE Hospitals, Bhubaneswar"
4.3,Thanks to all Drs who helped my uncle to get recover soon... Thank you Dr M P Tripathy & his colleagues. Thank You Dr Sandeep Sir & Dr Y J K Reddy Sir.,"CARE Hospitals, Bhubaneswar"
4.3,Overall very good experience.,"CARE Hospitals, Bhubaneswar"
4.3,Very nice hospital,"CARE Hospitals, Bhubaneswar"
4.3,Nice and helpful,"CARE Hospitals, Bhubaneswar"
3.7,Sum Hospital very good Treatment,SUM Hospital
3.7,Treatment thick se nehi hota hai,SUM Hospital
3.7,Ttt,SUM Hospital
3.7,Good experience,SUM Hospital
3.7,Sum hospital dr.and nurse behaviour is very bad .. very Poor Treatment...,SUM Hospital
3.7,Good,SUM Hospital
3.7,Accha,SUM Hospital
3.7,Most of security guards are worst,SUM Hospital
3.7,Good good,SUM Hospital
3.7,Good experience,SUM Hospital
3.7,It was good when I went there,SUM Hospital
3.7,Somewhat good hospital.,SUM Hospital
3.7,Very good,SUM Hospital
4.7,"Bed num- 4008
Food is good
All services provided in hospital is good
Thank you dietetics department",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Worst hospitals in Bhubaneswar,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Sum ultimate is a gud medical & all the stap are so gud , behaviour is fantastic & the transporter laxmidhar & rajeswar is best as much as . Thank u sum ultimate.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Total service is highly satisfactory. Staffs are very cooperative. Hospital is very clean and hygenic.
Thank you Sum Ultimate.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Best service got by sir khirod Kumar Pradhan on my 1 St visit to the hospital and helped me so much.. thany you brother...,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Third class hospital, typical money minded admins, treats patients using fear psychosis. Very elegant look from outside, with a bunch of unskilled nurses, staff. Strongly not recommended. Takes hours to do simple tests!",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,I am satisfied with the hospital treatment and service. Every staffs and doctors are very helpful and caring. Ip staffs are well behaved and friendly. I am happy. Thank you.,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"We welcomed our daughter on 18th July,,Thank you so much for the timely guidance and health supervision of Madam Dr.Chinmayee Kar. Your medication helped to come from a lagging matter to a joyous one. My heartfelt gratitude to the super team of doctors, nurses, health workers, house keeping for a creating a very Friendlier and constant environment in the process of delivery to discharge. It's felt like a home away. Truly mesmerizing memory and penning from core of my heart that SUM ULTIMATE  has given me and my spouse a very ambient environment.
Thank you to all team of Sum Ultimate.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Treatment is good,dr Vibutendra mohanty sir  is excellent ,house keeping is good,food is good and all staff behaviour good .",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Sum ultimate Medicare Hospital is no 1 Hospitality is a very very good personal thanks for hospitality staff bibek saram
Transport pravat lenka good service",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Good hospital in odisha,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Had a great experience consulting the doctor. Thanks,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Good hospitality and very good treatment by the doctor with good behaviour,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Excellent behavior,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,Best treatment and best service...provide by all staff of sum ultimate  thank you for your cooperation..,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Dr. Chimayee Kar
The overall experience was good.
Treatment was nicely done. Beside this staff's behavior and service was good.",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,"Dr. Radhamadhaba Sahu is a very good doctor
Room service is very good",SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.7,One of the best hospital in Bhubaneswar,SUM Ultimate Medicare - Best Multispeciality Hospital in Bhubaneswar
4.2,"I visit the hospital with my mother, because she has some gyenic problem. We came to the lab for test . Puspa mam in pathology did a good job and suggest us to visit the doctor. She is very polite and knowledgeable. That kind of staffs are mirror of the hospital.",Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,"My father was acutely suffering when we admitted him here. The response of the entire team of Sparsh was spontaneous and he was immediately attended to in no time. All required tests were completed at blazing speed and in just couple of hours, the doctors were ready with the diagnosis and treatment. This feat and speed is noteworthy. The nursing staff is extremely prompt, empathetic, and kind. They took great care of my father. Except a few minor this and that here and there, this is definitely a very reliable hospital in Bhubaneswar and highly recommended. Thank you Sparsh team!",Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,The worst ever critical care in odisha.they wanted to do a surgery on my uncle who was healthy. By Bhagwaan Jagannath grace we came to hyderabad and my uncle was not at all needing that surgery. Shame on CMO Odisha who let these hospitals go unchecked,Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,Over all good service,Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,"Good hospital lot of patients are coming need to increase cabin rooms for patients.
Overall service very good,good doctors.",Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,Very Very  good  and  Excellent service  good Behavior  with beautiful place. This is tha one of the best Critical   Operation hospital  may be  I really love  the  service  by using  5 star   Rating   thank you   Sparsh  hospital  and Critical care,Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,My mother is well now she is suffering from Cancer so badly but under one year treatment in sparsh hospital she is now very good condition now I am so happy  thanks sparsh hospital all members and most thanks for dr.ghanashyam biswas sir.,Sparsh Hospitals & Critical Care Pvt. Ltd.
4.2,Extremely satisfied with process of treatment by Doctors and explanation of query by Doctors are highly appreciable.,Sparsh Hospitals & Critical Care Pvt. Ltd.
3.7,Nice experience,SUM Hospital
3.7,Nice one,SUM Hospital
3.7,Private hospitals are good as compared to govt hospitals . But some staff of this hospital are not good . Proper sanitizing and cleaning maintained. The hospital building looks so awesome and was also done by international architects. But since the overall experience is moderate. The hospital is good and the hospital atmosphere is good . Hospital doctors are nice but overcharged because it is private hospitals. I never recommend any poor or lower middle class family to come here. Only the richest people can afford the hospital service.,SUM Hospital
3.7,Hospital is nice and doc. Are good aswell but but the staff were very rude to us on of my relative hospitalized their so i went to the hospital but the staff is not good they was  using abusive words at a same time they was aggressive to......,SUM Hospital
3.7,Good service,SUM Hospital
3.7,"Really good hospital.
Thanks to there doctors in emergency ward.",SUM Hospital
3.7,Homes,SUM Hospital
3.7,It's not batter then care hospital,SUM Hospital
3.7,It's the 3rd most busiest hospital in BBSR after AIIMS and City Hospital.,SUM Hospital
3.7,It's my personal experience I had here . The service was excellent  and there staff behaviour is also good . They treat is like there family.  I really thankful to all staff.,SUM Hospital
3.7,Good but doctors are not visiting to patients regularly,SUM Hospital
3.7,Wow,SUM Hospital
3.7,Very Wrost Service Don’t Go Sum Hospital,SUM Hospital
3.7,Best hospital,SUM Hospital
4.3,Yatri food services and catering services are good cafeteria is clean.,"CARE Hospitals, Bhubaneswar"
4.3,Really  care ICCU STAFF IS MOST COPRATIVE.,"CARE Hospitals, Bhubaneswar"
4.3,Best service ane very cary gda staff and house keeping staff and good treatment,"CARE Hospitals, Bhubaneswar"
4.3,"I recently visited In Care Hospital in Bhubaneswar and had an excellent experience with the doctor. The doctor was incredibly good and polite, making me feel comfortable and well-cared for throughout my visit. They took the time to listen to my concerns, provided clear explanations, and ensured I understood my treatment options. The professionalism and empathy shown by the doctor were truly commendable. I highly recommend In Care Hospital and its dedicated medical staff for their exceptional care and service.","CARE Hospitals, Bhubaneswar"
4.3,"I admitted my father for an eye operation and am very happy with the treatment he received. I am grateful to the first responders and thankful to all the hospital staff for their excellent care. The facilities were outstanding, and the staff were down to earth and well-mannered.","CARE Hospitals, Bhubaneswar"
4.3,All staff and nursing staff are very good behave us.many many thanks to them,"CARE Hospitals, Bhubaneswar"
4.3,Everything is good but your moneytary charges was very high.... Compairtively other hospital,"CARE Hospitals, Bhubaneswar"
4.3,"Worst experience in CARE Hospital,Bhubaneswar.Billing staffs are very arrogant.Nurses are also monitoring BP,weight checking by gossiping with each other.They have not attention to patients.And finally doctors consultation.Very dissipointed about doctors diagnosis time of only 1 minute.He is not listening my previous health issues and also not see my previous reports.very pathetic .......","CARE Hospitals, Bhubaneswar"
4.3,"Absolute bad experience. I tried to take online appointment, their network is down, they can not book appointment . I asked them to call the reception and book appointment, not possible . Then they asked me to go to hospital at 9.00AM , that is the time doctor reach to hospital . I reached 10 minutes before , reception can not trace my account, as system is down. So asked me to pay registration fee again . I agreed , but when I asked about Dr. they asked me to wait till 11.30, 2.5hrs to see the doctor . They expect a patient to want for 2.5 hour, where in I followed their timeline guidance .
reception service is team under impression that that is the only hospital in Bhubaneswar, patient need to listen to them . Wakeup care hospital, we have many other better choices in BBSR.","CARE Hospitals, Bhubaneswar"
4.6,"VERY SORRY TO INFORM YOU ALL, THAT ,INSTEAD OF PATIENT  CLINICAL ADVICE OR CLINICAL REPORTS TO REFFER OTHER HOSPITAL  DR.HAS WRITTEN PATIENT FATHER’S NAME TODAY..AFTER ASKING 24HRS  FOR 2ND OPINION AT SCB MEDICAL COLLEGE AND  AIIMS BHUBANESWAR THEY HAD GIVEN AT 3PM TODAY ON DEMAND..THEY CANNOT CONNECT ON CALL OR ICU AS ONLY LOOTING POOR PATIENT..
VERY MONEY MINDED HOSPITAL WITH Dr. SAHU  NEURO BRAIN STROKE SURGERY DOCTOR WITH HOSPITAL STAFFS   ..
if patients has high Bp with stokes then ITS  is possible to operate immediately without monitoring patients conditions and demands 2.5 lks surgery..
Very poor monitoring patients care on Brain stroke surgery....BEST AIIMS BHUBANESWAR, With money atleast patients can save earning or selling lands to live in ...Most of the HOSPITAL runs on Commission or agents ...please stop it .AGENTS ARE MOST DANGEROUS THEN THE PATIENT CARE ON COMMISSIONS",Sunshine Hospital
4.6,"all staffs are very cooperative and caring
,Thanks doctor Aditya padhy",Sunshine Hospital
4.6,"Treatment super..
Nursing and management good.
All are nice .2nd floor all staff good",Sunshine Hospital
4.6,"Very nice hospital. Attention towards patient is awesome. Dr. Ritesh Acharya (Cardiologist) is one of the best doctor who is so kind, adorable and caring. His sweet words can heal diseases. Nurses of emergency ward are also so kind and attentive. Strongly recommend.",Sunshine Hospital
4.8,Very good experience with amri.team,"Manipal Hospitals, Bhubaneswar"
4.8,"My mother admitted in manipal hospital  bbsr cardiac hdu bed no 1020 nursing care is very good  and satisfaction care , all staff are good , proper hygiene maintain sister twinkle, Smriti, Padmini, Preeti ,Gayatri, jyotsna, abhilipsa , incharge sis Subhashree dd is a very good and beautiful sister politely behaviour","Manipal Hospitals, Bhubaneswar"
4.8,Very excllent sevice. Very so operstive my collicks,"Manipal Hospitals, Bhubaneswar"
4.8,Bed bo 2021 rashmita Priyanka mamata mikina and babita all love u and thank u for everything u done for me and my baby ...thank u soooo much u all are very caring and have very patience toooo,"Manipal Hospitals, Bhubaneswar"
4.8,"I m in 3rd general,all staffr very cooperatives .caring,thanks to sr sreemati ,iti,br satya for their best care.","Manipal Hospitals, Bhubaneswar"
4.8,"Hospitality  is really good and the conduct of the staffs and tge doctors is itself health recovering.
I extend my heartfelt gratitude to Sir Manas Pradhan Sir (Practitioner in duty) and the staffs of 5th floor . They ere really cooperative and generous . I thank Gayatri maam. Pritilipi  Maam and Soumya maam for their kindness .","Manipal Hospitals, Bhubaneswar"
4.8,"Excellent care and service has been provided during my treatment. Dr.Tanmaya Sahu has understand the patient situation and gives treatment accordingly.
Manipal sister staff members are well trained very helpful and supportive during my treatment.Food was hygienic and provided on time with personalise diet plan.
Security Laxmi Priya attended guide us and help us during admission in hospital.","Manipal Hospitals, Bhubaneswar"
4.8,"Manipal is very good hospital,4th C staffs are very cooperative,especially nursing staff..
Nibedita
Arati
Suchismita","Manipal Hospitals, Bhubaneswar"
4.8,All Neour hdu staffs are very very  Well & excellent bed no 2124,"Manipal Hospitals, Bhubaneswar"
4.8,My father got admitted in NICU under Dr. Sunil Kumar patra on 27/7/24. On 12/8/24 my father got discharged from Neuro HDU. All nursing staffs are polite and co operative especially LIPIKA sister. Best hospital for treatment but expensive.,"Manipal Hospitals, Bhubaneswar"
4.8,Bast hospital bhubaneswar,"Manipal Hospitals, Bhubaneswar"
4.8,"It is a very good hospital for kidney transplant, here doctor and nurses are very kuch cooperative.","Manipal Hospitals, Bhubaneswar"
4.8,My father got admitted on 6th august under Dr. P. R. Bhuyan in Neuro HDU 2128.Here all staffs are good and co- operative. All nursing care providers are nice and well behaved especially Sis. Tapasi. And i am really very happy with treatment taken from this hospital. And i got discharge on 12.8.24 with my healthy father.,"Manipal Hospitals, Bhubaneswar"
